3.973496e+01, -8.820772e+00, -87.377

3.973496e+01, -8.820772e+00, -86.252

3.973496e+01, -8.820772e+00, -86.626

3.973496e+01, -8.820772e+00, -85.997

3.973496e+01, -8.820772e+00, -83.746

3.973496e+01, -8.820772e+00, -83.134

3.973496e+01, -8.820772e+00, -87.672

3.973496e+01, -8.820772e+00, -90.523

3.973496e+01, -8.820772e+00, -91.011

3.973496e+01, -8.820772e+00, -81.951

3.973496e+01, -8.820772e+00, -83.738

3.973496e+01, -8.820772e+00, -81.723

3.973496e+01, -8.820772e+00, -83.837

3.973496e+01, -8.820775e+00, -90.71

3.973495e+01, -8.820780e+00, -85.96

3.973495e+01, -8.820785e+00, -85.841

3.973494e+01, -8.820790e+00, -82.96

3.973494e+01, -8.820795e+00, -86.471

3.973493e+01, -8.820802e+00, -89.075

3.973493e+01, -8.820808e+00, -82.195

3.973492e+01, -8.820815e+00, -89.834

3.973492e+01, -8.820822e+00, -93.501

3.973492e+01, -8.820828e+00, -81.473

3.973491e+01, -8.820837e+00, -82.176

3.973491e+01, -8.820843e+00, -86.45

3.973491e+01, -8.820848e+00, -94.133

3.973490e+01, -8.820855e+00, -92.573

3.973490e+01, -8.820860e+00, -89.44

3.973489e+01, -8.820863e+00, -91.561

3.973489e+01, -8.820868e+00, -82.82

3.973488e+01, -8.820873e+00, -87.414

3.973488e+01, -8.820880e+00, -83.272

3.973487e+01, -8.820883e+00, -92.252

3.973486e+01, -8.820885e+00, -91.153

3.973485e+01, -8.820883e+00, -87.609

3.973484e+01, -8.820883e+00, -93.51

3.973483e+01, -8.820880e+00, -87.714

3.973483e+01, -8.820877e+00, -94.849

3.973482e+01, -8.820877e+00, -92.684

3.973482e+01, -8.820882e+00, -91.359

3.973481e+01, -8.820888e+00, -92.672

3.973481e+01, -8.820895e+00, -92.914

3.973481e+01, -8.820898e+00, -93.956

3.973480e+01, -8.820902e+00, -95.25

3.973479e+01, -8.820905e+00, -88.555

3.973478e+01, -8.820905e+00, -85.76

3.973478e+01, -8.820903e+00, -92.93

3.973477e+01, -8.820900e+00, -93.623

3.973477e+01, -8.820895e+00, -85.535

3.973477e+01, -8.820890e+00, -82.454

3.973477e+01, -8.820877e+00, -89.936

